
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
POSTAL_CODE                   ;VARCHAR2                                                                                                  ;         28
CITY_NAME                     ;VARCHAR2                                                                                                  ;        256
CITY_TYPE                     ;VARCHAR2                                                                                                  ;          4
PROVINCE_ABBR                 ;VARCHAR2                                                                                                  ;          8
PROVINCE_NAME                 ;VARCHAR2                                                                                                  ;        256
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
