
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
LOOKUP_TYPE                   ;VARCHAR2                                                                                                  ;         19
CODE                          ;VARCHAR2                                                                                                  ;        128
DESCRIPTION                   ;VARCHAR2                                                                                                  ;        400
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
