
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
TERM_PARAMETER                ;VARCHAR2                                                                                                  ;        120
TERM_INDICATOR                ;VARCHAR2                                                                                                  ;          1
TERM_CODE                     ;VARCHAR2                                                                                                  ;        400
TERM_DESCRIPTION              ;VARCHAR2                                                                                                  ;        120
TERM_START_DATE               ;DATE                                                                                                      ;          7
TERM_END_DATE                 ;DATE                                                                                                      ;          7
TERM_LAST_DAY_BEFORE_NEXT_TERM;DATE                                                                                                      ;          7
IS_CURRENT_TERM               ;VARCHAR2                                                                                                  ;          4
