
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
MOIRA_LIST_OWNER_KEY          ;VARCHAR2                                                                                                  ;        280
OWNER                         ;VARCHAR2                                                                                                  ;        240
OWNER_TYPE                    ;VARCHAR2                                                                                                  ;         40
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
