
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
IAP_SUBJECT_CATEGORY_KEY      ;VARCHAR2                                                                                                  ;        128
IAP_CATEGORY_NAME             ;VARCHAR2                                                                                                  ;        240
IAP_CATEGORY_DESC             ;VARCHAR2                                                                                                  ;        960
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          8
