
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
TOP_LEVEL_DOMAIN_KEY          ;VARCHAR2                                                                                                  ;          6
TOP_LEVEL_DOMAIN              ;VARCHAR2                                                                                                  ;          6
TOP_LEVEL_DOMAIN_DESCRIPTION  ;VARCHAR2                                                                                                  ;        100
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
