
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
USERNAME                      ;VARCHAR2                                                                                                  ;         32
DLC_KEY                       ;VARCHAR2                                                                                                  ;         60
