
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
USER_NAME                     ;VARCHAR2                                                                                                  ;         32
HAS_FINANCIAL_AUTH            ;VARCHAR2                                                                                                  ;          4
HAS_HR_FULL_AUTH              ;VARCHAR2                                                                                                  ;          4
HAS_HR_LIMITED_AUTH           ;VARCHAR2                                                                                                  ;          4
HAS_PAYROLL_AUTH              ;VARCHAR2                                                                                                  ;          4
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
