
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
MOIRA_LIST_KEY                ;VARCHAR2                                                                                                  ;        240
MOIRA_LIST_OWNER_KEY          ;VARCHAR2                                                                                                  ;        560
MOIRA_LIST_MEMBER             ;VARCHAR2                                                                                                  ;        900
MOIRA_LIST_MEMBER_FULL_NAME   ;VARCHAR2                                                                                                  ;        360
MOIRA_LIST_MEMBER_MIT_ID      ;VARCHAR2                                                                                                  ;         36
LAST_UPDATE_DATE              ;DATE                                                                                                      ;          7
COUNTER                       ;NUMBER                                                                                                    ;         22
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
