
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
IAP_SUBJECT_SPONSOR_KEY       ;VARCHAR2                                                                                                  ;        128
SPONSOR_NAME                  ;VARCHAR2                                                                                                  ;        200
SPONSOR_TYPE                  ;VARCHAR2                                                                                                  ;        120
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          8
