
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
HOLIDAY_CLOSING_DATE          ;DATE                                                                                                      ;          7
HOLIDAY_CLOSING_DESCRIPTION   ;VARCHAR2                                                                                                  ;        120
HOLIDAY_CLOSING_TYPE          ;VARCHAR2                                                                                                  ;        120
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          8
