
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
HIERARCHY_TYPE                ;VARCHAR2                                                                                                  ;        600
LINK_TYPE_CODE                ;VARCHAR2                                                                                                  ;         96
LINK_TYPE                     ;VARCHAR2                                                                                                  ;        600
DLC_KEY                       ;VARCHAR2                                                                                                  ;        180
DLC_CODE                      ;VARCHAR2                                                                                                  ;        180
LINKED_OBJECT_KEY             ;VARCHAR2                                                                                                  ;        360
LINKED_OBJECT_CODE            ;VARCHAR2                                                                                                  ;        240
