
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
LIBRARY_MATERIAL_STATUS_KEY   ;VARCHAR2                                                                                                  ;          1
LIBRARY_MATERIAL_STATUS_CODE  ;VARCHAR2                                                                                                  ;          1
LIBRARY_MATERIAL_STATUS       ;VARCHAR2                                                                                                  ;         50
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
