
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
TABLE_KEY                     ;NUMBER                                                                                                    ;         22
FIELD_NAME                    ;VARCHAR2                                                                                                  ;        120
TABLE_NAME                    ;VARCHAR2                                                                                                  ;        120
DEFINITION                    ;VARCHAR2                                                                                                  ;       4000
FIELD_LENGTH                  ;NUMBER                                                                                                    ;         22
DATA_TYPE                     ;VARCHAR2                                                                                                  ;         64
SEQUENCE                      ;NUMBER                                                                                                    ;         22
